第16任總統副總統選舉候選人在花蓮縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"43,047","43,157","87,953","174,157","1,861","176,018",12,"176,030","91,794","267,824",65.72
　卓溪鄉,,,627,264,"1,859","2,750",32,"2,782",0,"2,782","1,943","4,725",58.88
,崙山村,0328,74,18,197,289,5,294,0,294,216,510,57.65
,立山村,0329,49,27,194,270,4,274,0,274,211,485,56.49
,立山村,0330,65,33,170,268,1,269,0,269,177,446,60.31
,太平村,0331,101,36,293,430,5,435,0,435,243,678,64.16
,卓溪村,0332,102,43,268,413,4,417,0,417,280,697,59.83
,卓清村,0333,76,25,229,330,4,334,0,334,263,597,55.95
,卓清村,0334,40,23,132,195,3,198,0,198,198,396,50.00
,古風村,0335,35,22,143,200,2,202,0,202,124,326,61.96
,古風村,0336,58,22,163,243,3,246,0,246,159,405,60.74
,古風村,0337,27,15,70,112,1,113,0,113,72,185,61.08
