第16任總統副總統選舉候選人在澎湖縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,竹灣村,0095,78,200,112,390,3,393,0,393,422,815,48.22
,小門村,0096,28,12,102,142,3,145,0,145,133,278,52.16
,大池村,0097,61,187,113,361,3,364,0,364,311,675,53.93
,二崁村,0098,10,51,16,77,0,77,0,77,71,148,52.03
,池東村,0099,79,153,131,363,6,369,0,369,327,696,53.02
,池西村,0100,20,61,23,104,1,105,0,105,112,217,48.39
,赤馬村,0101,45,157,62,264,7,271,0,271,335,606,44.72
,內垵村,0102,98,310,140,548,9,557,0,557,675,"1,232",45.21
,外垵村,0103,116,114,218,448,4,452,0,452,450,902,50.11
,外垵村,0104,145,107,257,509,2,511,0,511,589,"1,100",46.45
　望安鄉,,,277,764,471,"1,512",18,"1,530",0,"1,530","3,278","4,808",31.82
,東安村,0105,54,123,106,283,4,287,0,287,408,695,41.29
,西安村,0106,28,79,76,183,3,186,0,186,271,457,40.70
,中社村,0107,18,66,34,118,0,118,0,118,234,352,33.52
,水垵村,0108,23,99,55,177,0,177,0,177,329,506,34.98
,將軍村,0109,35,108,60,203,5,208,0,208,449,657,31.66
,將軍村,0110,42,155,42,239,3,242,0,242,513,755,32.05
,東吉村,0111,13,37,29,79,1,80,0,80,247,327,24.46
,東坪村,0112,28,56,18,102,0,102,0,102,433,535,19.07
,西坪村,0113,6,17,11,34,0,34,0,34,190,224,15.18
,花嶼村,0114,30,24,40,94,2,96,0,96,204,300,32.00
　七美鄉,,,244,389,452,"1,085",22,"1,107",0,"1,107","2,328","3,435",32.23
,東湖村,0115,11,46,22,79,1,80,0,80,191,271,29.52
,西湖村,0116,36,70,87,193,8,201,0,201,392,593,33.90
,中和村,0117,53,66,101,220,2,222,0,222,416,638,34.80
,平和村,0118,38,51,42,131,2,133,0,133,240,373,35.66
,海豐村,0119,17,49,42,108,4,112,0,112,280,392,28.57
,南港村,0120,89,107,158,354,5,359,0,359,809,"1,168",30.74
