第16任總統副總統選舉候選人在宜蘭縣各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投開票所別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"(1)
柯文哲
吳欣盈","(2)
賴清德
蕭美琴","(3)
侯友宜
趙少康",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"70,171","119,517","77,441","267,129","1,925","269,054",4,"269,058","109,968","379,026",70.99
,廣興村,0345,213,493,206,912,1,913,0,913,326,"1,239",73.69
,廣興村,0346,222,387,227,836,10,846,0,846,390,"1,236",68.45
,廣安村,0347,156,245,156,557,2,559,0,559,168,727,76.89
,廣安村,0348,171,341,183,695,5,700,0,700,264,964,72.61
,柯林村,0349,192,309,176,677,2,679,0,679,221,900,75.44
,柯林村,0350,182,322,139,643,7,650,0,650,236,886,73.36
,大進村,0351,105,316,114,535,12,547,0,547,195,742,73.72
　五結鄉,,,"6,831","12,158","6,140","25,129",175,"25,304",0,"25,304","10,268","35,572",71.13
,三興村,0352,225,398,168,791,6,797,0,797,331,"1,128",70.66
,三興村,0353,184,395,155,734,7,741,0,741,259,"1,000",74.10
,二結村,0354,186,301,201,688,4,692,0,692,253,945,73.23
,二結村,0355,207,322,192,721,4,725,0,725,236,961,75.44
,鎮安村,0356,195,349,142,686,2,688,0,688,250,938,73.35
,鎮安村,0357,211,313,173,697,1,698,0,698,223,921,75.79
,鎮安村,0358,156,262,153,571,2,573,0,573,229,802,71.45
,上四村,0359,147,266,152,565,3,568,0,568,193,761,74.64
,上四村,0360,163,280,149,592,5,597,0,597,248,845,70.65
,中興村,0361,125,255,101,481,5,486,0,486,243,729,66.67
,中興村,0362,114,212,100,426,3,429,0,429,197,626,68.53
,四結村,0363,106,207,142,455,2,457,0,457,160,617,74.07
,四結村,0364,191,284,191,666,5,671,0,671,252,923,72.70
,四結村,0365,182,365,204,751,4,755,0,755,255,"1,010",74.75
,福興村,0366,171,344,182,697,8,705,0,705,241,946,74.52
,福興村,0367,143,291,138,572,5,577,0,577,238,815,70.80
,五結村,0368,169,277,155,601,3,604,0,604,341,945,63.92
,五結村,0369,160,295,221,676,4,680,0,680,234,914,74.40
,五結村,0370,164,279,153,596,4,600,0,600,244,844,71.09
,五結村,0371,206,291,190,687,4,691,0,691,275,966,71.53
,協和村,0372,214,413,195,822,7,829,0,829,294,"1,123",73.82
,協和村,0373,174,312,160,646,3,649,0,649,289,938,69.19
,協和村,0374,231,401,176,808,5,813,0,813,384,"1,197",67.92
,大吉村,0375,170,317,176,663,1,664,0,664,243,907,73.21
,大吉村,0376,178,264,204,646,5,651,0,651,266,917,70.99
,大吉村,0377,250,353,175,778,5,783,0,783,307,"1,090",71.83
,大吉村,0378,179,274,132,585,7,592,0,592,244,836,70.81
,孝威村,0379,144,335,93,572,5,577,0,577,249,826,69.85
,孝威村,0380,163,277,148,588,4,592,0,592,211,803,73.72
,錦眾村,0381,101,210,130,441,3,444,0,444,158,602,73.75
,錦眾村,0382,126,300,112,538,5,543,0,543,230,773,70.25
,利澤村,0383,134,309,137,580,9,589,0,589,286,875,67.31
,利澤村,0384,170,340,160,670,6,676,0,676,318,994,68.01
,成興村,0385,280,391,148,819,1,820,0,820,377,"1,197",68.50
,成興村,0386,242,447,185,874,7,881,0,881,353,"1,234",71.39
,成興村,0387,195,314,103,612,4,616,0,616,302,918,67.10
,季新村,0388,130,308,123,561,3,564,0,564,260,824,68.45
,季新村,0389,234,393,189,816,9,825,0,825,381,"1,206",68.41
,季新村,0390,111,214,132,457,5,462,0,462,214,676,68.34
　三星鄉,,,"2,956","6,500","3,439","12,895",93,"12,988",0,"12,988","5,882","18,870",68.83
,員山村,0391,29,65,41,135,2,137,0,137,61,198,69.19
,天山村,0392,54,117,107,278,3,281,0,281,162,443,63.43
,天福村,0393,103,230,124,457,7,464,0,464,222,686,67.64
,萬德村,0394,86,186,110,382,6,388,0,388,188,576,67.36
,貴林村,0395,73,128,103,304,2,306,0,306,198,504,60.71
,萬富村,0396,117,259,139,515,4,519,0,519,199,718,72.28
,雙賢村,0397,70,235,111,416,2,418,0,418,176,594,70.37
,人和村,0398,53,148,108,309,2,311,0,311,142,453,68.65
,義德村,0399,143,327,234,704,1,705,0,705,413,"1,118",63.06
,集慶村,0400,172,335,239,746,6,752,0,752,356,"1,108",67.87
,月眉村,0401,140,279,164,583,3,586,0,586,241,827,70.86
,拱照村,0402,147,370,194,711,9,720,0,720,623,"1,343",53.61
,行健村,0403,130,356,155,641,3,644,0,644,245,889,72.44
,大隱村,0404,150,325,170,645,5,650,0,650,296,946,68.71
,大隱村,0405,199,347,200,746,1,747,0,747,310,"1,057",70.67
,大隱村,0406,172,388,170,730,2,732,0,732,319,"1,051",69.65
,大隱村,0407,240,402,218,860,8,868,0,868,383,"1,251",69.38
,大義村,0408,93,256,95,444,3,447,0,447,168,615,72.68
,大義村,0409,104,245,120,469,3,472,0,472,169,641,73.63
,尚武村,0410,111,287,158,556,6,562,0,562,224,786,71.50
,大洲村,0411,146,331,153,630,5,635,0,635,196,831,76.41
,大洲村,0412,126,326,103,555,5,560,0,560,181,741,75.57
,尾塹村,0413,141,265,98,504,1,505,0,505,214,719,70.24
,尾塹村,0414,157,293,125,575,4,579,0,579,196,775,74.71
　大同鄉,,,807,489,"1,937","3,233",20,"3,253",0,"3,253","1,553","4,806",67.69
